location,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653
variable,Temperature,Temperature,Temperature
unit,°F,°F,°F
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected]
20230529T0000,80.438446,53.402443,67.34719
20230530T0000,78.098434,54.050438,66.87843
20230531T0000,80.58244,52.98844,67.39519
20230601T0000,81.15844,56.51644,69.386444
20230602T0000,79.32244,54.03244,67.66294
20230603T0000,80.20444,55.112442,68.14968
20230604T0000,80.06044,53.276443,67.10719
20230605T0000,80.97844,54.248444,69.05644
20230606T0000,80.942444,54.86044,69.35118
20230607T0000,81.33844,54.84244,68.81269
20230608T0000,82.97644,55.886444,69.93169
20230609T0000,85.28044,60.026443,73.3352
20230610T0000,85.208435,61.48444,74.046196
20230611T0000,85.33444,57.45244,73.92319
20230612T0000,85.65844,56.53444,73.003685
20230613T0000,83.28244,51.29644,69.720184
20230614T0000,82.13044,56.39044,70.4627
20230615T0000,81.84244,56.40844,70.212944
20230616T0000,82.886444,53.222443,71.21569
20230617T0000,85.96444,58.80244,73.53019
20230618T0000,88.34044,61.68244,76.242195
20230619T0000,86.88245,66.36244,76.08694
20230620T0000,90.176445,67.26244,76.68545
20230621T0000,81.95044,65.21044,73.51595
20230622T0000,84.97444,63.51844,71.702446
20230623T0000,78.72844,55.54444,68.870445
20230624T0000,84.05644,56.33644,71.67919
20230625T0000,88.32244,60.944443,75.2987
20230626T0000,86.61244,60.512444,74.60343
20230627T0000,78.33244,58.42444,68.54794
20230628T0000,81.608444,58.748444,69.9707
20230629T0000,82.634445,62.18644,74.401695
20230630T0000,69.60244,60.49444,65.769936
20230701T0000,73.61644,61.44844,67.36819
20230702T0000,76.40644,61.95244,68.27719
20230703T0000,75.848434,62.456444,69.417946
20230704T0000,78.85444,63.806442,71.1152
20230705T0000,74.13844,57.164444,66.87544
20230706T0000,81.57244,55.58044,68.914696
20230707T0000,90.608444,59.50444,77.34169
20230708T0000,88.61044,64.41844,75.29195
20230709T0000,95.91844,67.26244,82.46569
20230710T0000,89.87044,67.42444,78.81695
20230711T0000,97.07044,69.51244,81.569435
20230712T0000,80.456436,63.10444,73.03595
20230713T0000,80.06044,56.39044,69.98419
20230714T0000,87.62044,58.22644,74.214195
20230715T0000,91.38245,62.54644,77.426445
20230716T0000,77.09044,62.96044,70.01569
20230717T0000,80.47444,60.71044,71.91394
20230718T0000,81.57244,62.312443,73.43719
20230719T0000,85.26244,62.582443,75.746445
20230720T0000,80.744446,59.792442,71.553185
20230721T0000,75.63245,56.66044,67.71394
20230722T0000,80.88844,57.66844,70.01945
20230723T0000,84.00244,60.62044,73.50245
20230724T0000,74.10244,62.85244,68.106186
20230725T0000,69.27844,55.27444,62.155697
20230726T0000,69.04444,54.230442,60.940693
20230727T0000,78.47644,56.82244,68.2277
20230728T0000,77.57645,63.48244,69.87769
20230729T0000,78.89044,65.03044,70.01193
20230730T0000,75.92044,54.64444,66.43894
20230731T0000,77.59444,56.64244,70.65395
20230801T0000,70.19644,59.32444,64.65319
20230802T0000,81.734436,61.10644,70.75219
20230803T0000,73.77844,59.28844,66.46145
20230804T0000,67.442444,56.930443,62.547947
20230805T0000,72.608444,57.09244,65.083694
20230806T0000,63.320442,54.42844,58.12744
20230807T0000,66.86644,48.34444,58.353947
20230808T0000,72.84244,50.180443,64.33818
20230809T0000,75.11044,56.35444,65.89969
20230810T0000,83.17444,57.03844,70.15894
20230811T0000,89.52844,58.83844,75.83944
20230812T0000,84.12844,66.81244,75.28443
20230813T0000,85.40644,66.86644,75.03695
20230814T0000,88.16044,68.01844,78.00469
20230815T0000,87.35044,63.41044,75.64969
20230816T0000,90.41044,63.93244,76.921684
20230817T0000,85.73044,63.73444,74.68819
20230818T0000,93.99245,63.626442,78.6152
20230819T0000,94.424446,65.66044,80.29444
20230820T0000,94.38844,66.75844,81.32419
20230821T0000,95.50444,69.87244,82.20319
20230822T0000,95.34244,69.51244,82.185196
20230823T0000,92.93044,67.244446,79.56769
20230824T0000,96.62044,67.17244,79.73194
20230825T0000,80.31244,67.38844,73.217445
20230826T0000,69.27844,61.52044,65.199936
20230827T0000,66.902435,57.45244,61.945683
20230828T0000,60.80044,54.30244,57.30994
20230829T0000,61.916443,53.33044,58.22345
20230830T0000,69.42244,53.36644,62.31094
20230831T0000,67.96444,56.876442,63.24394
20230901T0000,78.36844,56.37244,67.017204
20230902T0000,84.12844,56.76844,69.903946
20230903T0000,82.904434,57.61444,70.33219
20230904T0000,86.64844,58.46044,72.05419
20230905T0000,86.14444,57.272438,71.493935
20230906T0000,85.190445,56.498444,71.40994
20230907T0000,87.56644,60.06244,73.50469
20230908T0000,89.27644,61.05244,75.490685
20230909T0000,89.942444,61.970444,75.507195
20230910T0000,91.11244,61.10644,74.87193
20230911T0000,91.886444,60.62044,76.24218
20230912T0000,88.93444,63.320442,75.46969
20230913T0000,74.12044,61.430443,67.08919
20230914T0000,75.50644,58.874443,66.618195
20230915T0000,79.23244,59.50444,67.95319
20230916T0000,81.08644,58.53244,69.69694
20230917T0000,85.38844,61.52044,72.93319
20230918T0000,72.80644,63.39244,66.786934
20230919T0000,74.26444,52.16044,64.24669
20230920T0000,79.62844,51.65644,66.92719
20230921T0000,77.162445,56.33644,65.7362
20230922T0000,68.39644,50.82844,59.344696
20230923T0000,64.76044,48.902443,56.60644
20230924T0000,69.152435,45.28444,55.943436
20230925T0000,71.61844,44.744442,57.4232
20230926T0000,75.56044,47.85844,59.44519
20230927T0000,76.96444,50.414444,61.97569
20230928T0000,80.81644,52.970444,64.97119
20230929T0000,78.85444,53.81644,66.995445
20230930T0000,72.23044,48.97444,61.499435
20231001T0000,77.39644,48.38044,62.772198
20231002T0000,82.13044,51.152443,65.57119
20231003T0000,78.098434,54.626442,64.53469
20231004T0000,67.856445,48.50644,56.940186
20231005T0000,67.31644,43.124443,54.69769
20231006T0000,71.16844,42.24244,55.000698
20231007T0000,75.63245,42.78244,58.327698
20231008T0000,80.67244,48.50644,62.86519
20231009T0000,80.27644,52.03444,64.90819
20231010T0000,78.818436,49.42444,62.21043
20231011T0000,79.68244,49.64044,64.17095
20231012T0000,79.64644,54.28444,65.76545
20231013T0000,82.61644,53.69044,70.839935
20231014T0000,65.44444,50.01844,57.002438
20231015T0000,55.958443,38.264442,47.928944
20231016T0000,58.11844,36.77044,46.10045
20231017T0000,59.45044,38.354443,48.43744
20231018T0000,55.85044,46.56244,52.98469
20231019T0000,62.258442,53.348442,58.31044
20231020T0000,60.512444,55.31044,58.48744
20231021T0000,64.40044,48.902443,56.050694
20231022T0000,62.54644,44.24044,52.265453
20231023T0000,57.25444,44.49244,51.46669
20231024T0000,57.416443,47.192444,52.32844
20231025T0000,59.27044,49.19044,55.218937
20231026T0000,61.10644,50.540443,54.660946
20231027T0000,58.24444,51.278442,53.504436
20231028T0000,61.376442,50.14444,55.24519
20231029T0000,62.438442,47.12044,55.04794
20231030T0000,58.442444,46.85044,53.57269
20231031T0000,56.138443,44.67244,51.51544
20231101T0000,56.80444,43.376442,49.70494
20231102T0000,51.87244,43.70044,48.275448
20231103T0000,50.05444,42.854443,46.2572
20231104T0000,54.21244,44.63644,49.944195
20231105T0000,55.328438,51.22444,52.695194
20231106T0000,55.09444,46.202442,50.26894
20231107T0000,50.27044,40.92844,45.57169
20231108T0000,54.28444,38.64244,44.58844
20231109T0000,50.68444,41.59444,48.099197
20231110T0000,51.20644,44.69044,47.976192
20231111T0000,47.53444,35.85244,42.864944
20231112T0000,54.93244,38.228443,46.74469
20231113T0000,61.124443,53.258442,58.315693
20231114T0000,54.64444,50.64844,52.54669
20231115T0000,52.970444,42.06244,48.521442
20231116T0000,53.97844,41.41444,48.22069
20231117T0000,46.88644,38.06644,43.658447
20231118T0000,52.93444,37.88644,46.31044
20231119T0000,58.62244,52.952442,55.74619
20231120T0000,54.068443,46.508442,50.60944
20231121T0000,49.80244,44.258442,46.752186
20231122T0000,43.39444,33.29644,37.989193
20231123T0000,46.14844,32.41444,41.432438
20231124T0000,48.18244,37.22044,43.002186
20231125T0000,41.23444,35.582443,38.30944
20231126T0000,41.612442,32.180443,36.685688
20231127T0000,43.75444,33.65644,39.939194
20231128T0000,43.84444,32.216442,37.312687
20231129T0000,42.56644,32.46844,35.91244
20231130T0000,37.72444,35.02444,36.44569
20231201T0000,37.958443,33.332443,35.898193
20231202T0000,32.882442,24.422441,30.472689
20231203T0000,33.31444,22.640442,27.192194
20231204T0000,42.53044,27.086441,34.71394
20231205T0000,44.54644,39.95644,41.667934
20231206T0000,42.944443,32.91844,39.19669
20231207T0000,38.40844,32.180443,35.386692
20231208T0000,45.78844,38.228443,43.44694
20231209T0000,50.59444,43.77244,47.17969
20231210T0000,53.762444,47.51644,50.778187
20231211T0000,53.708443,48.326443,51.24919
20231212T0000,56.300438,48.20044,52.092945
20231213T0000,49.514442,44.20444,46.470943
20231214T0000,47.78644,40.244442,44.23969
20231215T0000,46.868443,35.63644,40.94569
20231216T0000,43.32244,31.136442,36.22294
20231217T0000,42.89044,31.028442,35.132446
20231218T0000,48.20044,32.126442,37.211445
20231219T0000,43.790443,33.458443,39.895695
20231220T0000,44.258442,40.604443,42.677444
20231221T0000,50.19844,44.36644,48.12093
20231222T0000,49.208443,46.18444,47.582447
20231223T0000,47.76844,46.292442,46.909687
20231224T0000,52.46644,47.46244,50.23819
20231225T0000,51.818443,42.29644,46.371937
20231226T0000,49.71244,35.096443,42.969944
20231227T0000,49.89244,35.258442,41.170696
20231228T0000,49.42444,41.95444,46.450684
20231229T0000,54.39244,47.46244,50.341686
20231230T0000,53.60044,39.21844,44.65669
20231231T0000,46.18444,39.56044,42.850693
20240101T0000,46.92244,41.19844,44.022945
